MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.diablotools.com/products/DCB518ASTS06G,https://www.mccoys.com/shop/p/7872492-052303-32/diablo-dcb518asts06g-sanding-belt-12-in-w-18-in-l-50-80-120-grit-coarse-fine-medium-zirconium-abrasive,https://www.amazon.com/Diablo-Sanding-Belt-Zirconium-Blend/dp/B0CZY1CKN1,,,,DCB518ASTS06G,Tools & Equipment,Power Tool Accessories,Sanding Belts,,DCB518ASTS06G,"DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",,,,Freud Inc (2435),Freud Inc,Diablo®,Diablo®,DCB518ASTS06G,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Belts,"Freud Inc, Diablo®, Sanding Belt, DCB518ASTS06G, Width 1/2 in, Length 18 in",SANDING BELT 1/2 IN 18 IN,"Diablo® DCB518ASTS06G Sanding Belt With 1/2 in, 18 in, 6 pc, 50, 80, 120 (assorted)","Diablo® Sanding Belt, 1/2 in, 18 in, 6 pc, 50, 80, 120 (assorted), Zirconium",,,Width: 1/2 in,Length: 18 in,Pack Quantity: 6 pc,"Grit: 50, 80, 120 (assorted)",Abrasive Material: Zirconium,,,,,,,,,,,,,,,,,,,,,Sanding Belt,Width,1/2,in,Length,18,in,Pack Quantity,6,pc,Grit,"50, 80, 120 (assorted)",,Abrasive Material,Zirconium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,in,,,1/2,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.3m.com/3M/en_US/p/d/b40064784/,,,,,,3MABR-7100075678,Tools & Equipment,Power Tool Accessories,Sanding Discs,,3MABR-7100075678,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,3M®,3MABR-7100075678,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"3M Company, 3M®, Cubitron II, Sanding Discs, 3MABR-7100075678, Grit 150",SANDING DISCS,"3M® Cubitron II 3MABR-7100075678 Sanding Discs With 150, 50 pc, Cubitron II, Ceramic","3M® Sanding Discs, Cubitron II, 150, 50 pc, Cubitron II, Ceramic, Film",,,Cubitron II,Grit: 150,Pack Quantity: 50 pc,Series: Cubitron II,Abrasive Material: Ceramic,Backing: Film,,,,,,,,,,,,,,,,,,,,Sanding Discs,Grit,150,,Pack Quantity,50,pc,Series,Cubitron II,,Abrasive Material,Ceramic,,Backing,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.3m.com/3M/en_US/p/d/b40064784/,,,,,,3MABR-7100045865,Tools & Equipment,Power Tool Accessories,Sanding Discs,,3MABR-7100045865,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,3M®,3MABR-7100045865,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"3M Company, 3M®, Cubitron II, Sanding Discs, 3MABR-7100045865, Grit 120",SANDING DISCS,"3M® Cubitron II 3MABR-7100045865 Sanding Discs With 120, 50 pc, Cubitron II, Ceramic","3M® Sanding Discs, Cubitron II, 120, 50 pc, Cubitron II, Ceramic, Film",,,Cubitron II,Grit: 120,Pack Quantity: 50 pc,Series: Cubitron II,Abrasive Material: Ceramic,Backing: Film,,,,,,,,,,,,,,,,,,,,Sanding Discs,Grit,120,,Pack Quantity,50,pc,Series,Cubitron II,,Abrasive Material,Ceramic,,Backing,Film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3MABR-7100048736,Tools & Equipment,Power Tool Accessories,Sanding Discs,,3MABR-7100048736,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,3M®,3MABR-7100048736,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"3M Company, 3M®, Cubitron II, Sanding Discs, 3MABR-7100048736, Grit 80",SANDING DISCS,"3M® Cubitron II 3MABR-7100048736 Sanding Discs With 80, 50 pc, Cubitron II","3M® Sanding Discs, Cubitron II, 80, 50 pc, Cubitron II",,,Cubitron II,Grit: 80,Pack Quantity: 50 pc,Series: Cubitron II,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Grit,80,,Pack Quantity,50,pc,Series,Cubitron II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3MABR-7100075690,Tools & Equipment,Power Tool Accessories,Sanding Discs,,3MABR-7100075690,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,3M®,3MABR-7100075690,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"3M Company, 3M®, Cubitron II, Sanding Discs, 3MABR-7100075690, Grit 180",SANDING DISCS,"3M® Cubitron II 3MABR-7100075690 Sanding Discs With 180, 50 pc, Cubitron II","3M® Sanding Discs, Cubitron II, 180, 50 pc, Cubitron II",,,Cubitron II,Grit: 180,Pack Quantity: 50 pc,Series: Cubitron II,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Grit,180,,Pack Quantity,50,pc,Series,Cubitron II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3MABR-7100075692,Tools & Equipment,Power Tool Accessories,Sanding Discs,,3MABR-7100075692,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,3M®,3MABR-7100075692,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"3M Company, 3M®, Cubitron II, Sanding Discs, 3MABR-7100075692, Grit 220",SANDING DISCS,"3M® Cubitron II 3MABR-7100075692 Sanding Discs With 220, 50 pc, Cubitron II","3M® Sanding Discs, Cubitron II, 220, 50 pc, Cubitron II",,,Cubitron II,Grit: 220,Pack Quantity: 50 pc,Series: Cubitron II,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Grit,220,,Pack Quantity,50,pc,Series,Cubitron II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,3MABR-7100145365,Tools & Equipment,Power Tool Accessories,Sanding Discs,,3MABR-7100145365,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,,,,Jam Industrial Supply LLC (JAMIN),3M Company,3M®,3M®,3MABR-7100145365,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"3M Company, 3M®, Cubitron II, Sanding Discs, 3MABR-7100145365, Grit 320",SANDING DISCS,"3M® Cubitron II 3MABR-7100145365 Sanding Discs With 320, 50 pc, Cubitron II","3M® Sanding Discs, Cubitron II, 320, 50 pc, Cubitron II",,,Cubitron II,Grit: 320,Pack Quantity: 50 pc,Series: Cubitron II,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Grit,320,,Pack Quantity,50,pc,Series,Cubitron II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5B-332-080,Tools & Equipment,Power Tool Accessories,Sanding Discs,,5B-332-080,"5B-332-080 HIOLIT 5"" P80",,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,,5B-332-080,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"Mirka Abrasives Inc, Sanding Discs, 5B-332-080, Diameter 5 in, Grit 80",SANDING DISCS 5 IN,"5B-332-080 Sanding Discs With 5 in, 80","Sanding Discs, 5 in, 80",,,Diameter: 5 in,Grit: 80,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Diameter,5,in,Grit,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,5B-332-120,Tools & Equipment,Power Tool Accessories,Sanding Discs,,5B-332-120,"5B-332-120 HIOLIT 5"" P120",,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,,5B-332-120,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"Mirka Abrasives Inc, Sanding Discs, 5B-332-120, Diameter 5 in, Grit 120",SANDING DISCS 5 IN,"5B-332-120 Sanding Discs With 5 in, 120","Sanding Discs, 5 in, 120",,,Diameter: 5 in,Grit: 120,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Diameter,5,in,Grit,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9A-570-240,Tools & Equipment,Power Tool Accessories,Sanding Discs,,9A-570-240,9A-570-240 Abranet 2.75x30,,,,Mirka Abrasives Inc (MIRUS),Mirka Abrasives Inc,,,9A-570-240,,Tools & Equipment>Power Tool Accessories>Abrasives>Sanding Discs,"Mirka Abrasives Inc, Sanding Discs, 9A-570-240, Diameter 2-3/4 in",SANDING DISCS 2-3/4 IN 30 IN,"9A-570-240 Sanding Discs With 2-3/4 in, 30 in","Sanding Discs, 2-3/4 in, 30 in",,,Diameter: 2-3/4 in,Thickness: 30 in,,,,,,,,,,,,,,,,,,,,,,,,Sanding Discs,Diameter,2-3/4,in,Thickness,30,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
